country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
UK,1987,15072,ASHURST,19,-80,-60,50.88866,-1.5606495,"2 detectorists found 9teen Chute staters in an area of about 1.7 m diameter, at a depth of 5-10 cm, between 12-14 May 1987 (Cowell et al. 1987, 6-7). Examination of the site by Andover Museum located ""a pit nearby with a charcoal layer at the bottom"", but it is not clear if it had any definite relationship with the hoard.",Andover Museum
UK,1787,15203,HAVERHILL,50,-80,-60,52.078174,0.43555066,"4 large gold pieces, and imbedded in clay 40-50 more, found in 1787-8 on land belonging to Haverhill Place. This hoard was thought by Robertson to be late empire but seems to be Iron Age according to additional information found by P de Jersey (2015).",NA
Bulgaria,1985,10306,ZAFIROVO,243,270,275,44,26.826,500 antoniniani found in a ceramic vessel. 243 were published: Valerian I - Aurelian (AD 270-275).,NA
France,1754,3624,CLAIRMONT,223,260,269,46.793264,-2.06651,"Hoard of 223 coins: 6 aurei, 217 denarii and antoniniani (radiates): Severus Alexander - Postumus (AD 260-269); gold w8: 27.1-30.0g.; silver w8: 59.8-315.7g. Together was found a ring (metal not specified).",NA
Israel,1954,8124,QUMRAN 1954-1956,26,68,69,31.741,35.459,"The hoard comprised 26 bronze coins from the First Jewish Revolt, year 2 (AD 67-68).",NA
Poland,2003,13746,KOSTKOWICE,27,193,193,50.5848,19.5785,"Hoard consists of 70 Roman denarii (26 studied, 1 solidus): Vespasian - Didius Julianus (AD 193). Together with these coins were found: a solidus of Constantius II (Nicomedia/Cyzicus/Antioch, AD 340-355) as a pendant, 2 gold pendants slightly different in size, 2 belt buckles: 1 silver and 1 bronze, and a group of 13 silver pendants from a necklace.",NA
Germany,1772,16642,JAGSTHAUSEN,4,138,180,49.309513,9.467756,"The hoard (4 coins, Republic - Faustina I/II) was found with around 20 coins in 1772 during the digging of a draw well in front of the castle. - not sure which castle is meant, as there are 3 of them in Jagsthausen.",NA
UK,1984,14845,GRIMSTON,8,253,260,52.773192,-0.97865051,"Small group of denarii and radiates and a finger ring found together, possible purse hoard.",NA
Bulgaria,1960,10255,KOPRIVETS 1960-1961 2,42,243,244,43.406,25.879,Unknown number of silver coins. 42 pieces are kept in the Regional History Museum in Ruse: Caracalla - Gordian III (AD 243-244).,"Ruse Regional Museum of History, Bulgaria; inv.no. 1600 1-43"
Romania,1957,9238,ADAMCLISI 1957,36,80,80,44.092,27.944,"36 denari: 24 republican, 12 imperial: Republic - Titus (AD 80).","Muzeul Național de Istorie a României, Cabinetul Numismatic, Bucharest, Romania"
Croatia,2005,17396,VIS,78,241,243,43.064847,16.188269,75 denarii and 3 antoniniani (radiates) ranging from Antoninus Pius to Gordian III (AD 241-243).,Archaeological Museum Split
Greece,1981,6886,SINDOS 1981B,47,244,249,40.672,22.802,"A hoard of 47 coins (5 uncertain coins; 3 Roman Imperial coins and 39 Roman Provincial coins: Edessa, Pella, Koinon of Macedonia, Thessalonica), found in a grave in Sindos in 1981, ending with coins of Philip.",NA
Spain,1950,4834,SEVILLA 1950-1957,691,285,293,37.3890924,-5.9844589,691 antoniniani (radiates): Valerian I and Gallienus/Gallienus (sole) - Diocletian-Maximian I (AD 284-293). No further details.,NA
Poland,1964,13509,SKIERNIEWICE-RAWKA,500,114,117,51.975,20.22,Around 500 denarii. Only 3 are known from Domitian and Trajan.,"Muzeum Archeologiczne i Etnograficzne w Łodzi, Poland (3 coins)"
Germany,1971,2983,MILTENBERG-ALTSTADT,4,196,211,49.702,9.256,A small hoard (or part of a larger 1?) of 4 denarii (Antoninus Pius - Julia Domna) found between the 2 southern walls of the horreum (grain warehouse) of the military fort of Mil10berg-Altstadt.,NA
France,2010,16812,TOUROUVRE,404,269,271,48.579366,0.670689,"407 silver coins found in 2 glass bottles. 1 bottle contained 130 coins, the other 277 pieces: 86 denarii, 321 antoniniani (radiates): Domitian - Victorinus (AD 269-271). In 1 of the bottles were also found a pendant medallion (with a denarius of Antoninus Pius) and a silver finger ring.","Service Régional de l’Archéologie, Ile-de- Franceté; Centre Michel de Boüard – Centre de recherches archéologiques et historiques anciennes et médiévales, Caen"
Romania,1968,4337,MEDGIDIA 1968,31,383,388,44.272,28.246,"31 bronze coins: 1 as, 1 sestertius, denarius, 2 antoniniani, 20 nummi, 7 provincials (Vespasian-Theodosius I) (AD 383-388).","Museum of History and Archaeology Constanța, Romania (1971)"
France,1850,7453,LAIZY,4,222,235,46.941,4.198,"The hoard comprised a ceramic vessel containing 1 silver coin and an unknown number of copper-alloy coins of Marcus Aurelius, Commodus and Julia Mamaea.",NA
Luxembourg,1908,3577,BERDORF,60,271,274,49.821,6.349,The hoard was found in a cave and comprised 60 Roman coin copies as well as numerous fragments of copper-alloy bar with Roman coin flans stamped on them. The hoard was interpreted as belonging to a forger.,NA
Italy,1984,16178,"OPLONTIS - VILLA B, SKELETON 7",409,79,85,40.7577,14.4532,"A pile of coins was found wrapped in a wide weave cloth bag in the vicinity of the skeleton. 409 coins: 2 aurei, 189 denarii, 59 sestertii, 39 dupondii, 118 asses, 2 Greek coins.",Naples National Archaeological Museum
France,1881,6071,NIEUL,3,156,161,45.924,1.171,"3 aurei found at the bottom of ""an old wall"": Faustina I, Faustina II under Antoninus Pius, Marcus Aurelius (Caesar). The hoard was found by a farmer.",NA
UK,1965,14921,RUDSTON ROMAN VILLA,5,364,378,54.078607,-0.35075101,"The excavation of the well was concluded in 1966. It was 99ft deep and its diameter below the weathering c1 average 9ft to within 6ft of the bottom. 2 radiate coins of late 3rd C. and iron fittings of several buckets found within bottom 6 ft thick silts, along with large group of late 3rd and early 4th C. ceramics, at approx. 95 ft depth. In layer between 81ft and 85ft were masses of broken Huntcliff vessels & 3 Valentinianic coins - matching sherds of pot throughout this dump imply it was a single event.The coins, by P. Curnow in I.M. Stead ed. 1980 p.128.",NA
Poland,1900,13686,ŁUNOWO,2,161,180,53.454887,18.96087,"2 denarii: Trajan, Marcus Aurelius for Lucilla. No further details.","Museum of Archaeology, Gdańsk, Poland"
UK,2007,15226,LAUGHTON-EN-LE-MORTHEN,5,-60,-30,53.386291,-1.2196416,Partial record of a small group of early Corieltavian staters. No further information.,Dispersed through trade
Austria,1888,2853,CARNUNTUM 1888,36,166,166,48.127,16.893,36 denarii found in the military amphitheater: Mark Antony - Marcus Aurelius (AD 166).,"Museum Carnuntinum, Bad-Deutsch Altenburg, Austria (29 coins); 7 coins lost"
Egypt,1926,5473,KARANIS 1926,60,156,157,29.51973,30.90194,Circa 60 aurei. Disintegrated cloth bag found during excavations in the courtyard of a house.,NA
Belgium,1937,8258,LIER 1937,4000,393,423,51.13,4.572,"(4000+) 2569 coins: 1 denarius, 2 antoniniani (radiates), 1346 nummi, 1220 uncertain denomination: Caracalla/Julia Domna - Honorius (AD 393-423)","Cabinet des Médailles, Bruxelles, Belgium (34 coins); Town museum Turnhout, Belgium (512 coins); 6 private collections (2199 coins), in 1960"
Israel,1975,7696,JERUSALEM - WESTERN AND SOUTHERN WALLS 1975 B,13,69,70,31.775,35.235,"The hoard comprised 13 bronze coins, deposited during the First Jewish Revolt.",Israel Antiquities Authority (IAA 45428-45437; 45425-27)
France,1983,11679,FLEURINES 1983-1984,2,152,153,49.242,2.6257,"2 aurei, Domitian (Caesar), Marcus Aurelius (Caesar) found in sequential years, in the same forest. Close chronological range.",Private collection
Algeria,1950,4636,SIGA 1950,18,474,491,35.266,-1.448,"Hoard of 18 solidi of Honorius, Theodosis II, Leo and Zeno (c.480) Gold: 18 coins; Gold w8: 80.1g;",NA
Belgium,1781,6186,BORNEM,42,215,215,51.1093,4.2496,42 bronze coins: Antoninus Pius - Caracalla (AD 215).,"Collection J. De Bast (42 coins), in 1808"
Germany,1846,17300,TENSFELDERAU,6,59,60,54.04229,10.31856,"In 1846 6 Roman gold coins (Tiberius - Nero) and a ring were found by a workman in 10sfelderau during the digging of a small earth mound, located on a paddock along the river 10sfelde Au.",Copenhagen (coins only)
Ukraine,1912,18263,TEKUCHA,4,138,161,48.3927,24.7955,"A hoard of an unknown number of coins. Only 3 coins entered a museum collection: Hadrian, Antoninus Pius, Marcus Aurelius. Another denarius of Nerva comes from the same place, most likely part of the hoard","Museum Shevcenko, Lvov, Ukraine (inv. nos. 13307-13309; 13920)"
France,1982,5670,CANTELEU,60,193,193,49.451,1.036,"The hoard comprised 'approximately 60 sestertii, mostly illegible. 10 identifiable examples were of Antoninus Pius, Faustina (I or II), Commodus and perhaps, Didius Julianus' Archives of Musée de Rouen. Communication by Mme. Aubin (28.11.1982)",NA
UK,2014,15230,LISSETT AREA,2,30,50,54.005226,-0.24683961,IARCH record for hoard of 2 Iron Age gold coins.,NA
Russia,1984,18351,ANAPA 1984,105,234,238,44.8964,37.3092,"Hoard of 105 coins of the Bosporan kings: Rhescuporis II, Sauromates I, Cotys II, Rhoemetalces, Sauromates II, Rhescuporis III, Cotys III, Sauromates III, Rhescuporis IV, Ininthimeus.",NA
UK,1967,15331,ST ALBANS (KING HARRY LANE),10,1,10,51.74132,-0.36479637,"10 bronze coins from cremation burial 317 in King Harry Lane late Iron Age cemetery (Stead and Rigby 1989, 354). The grave goods consisted of 3 pots and a brooch as well as the 10 coins, 3 of which were found on a platter. The bodies were identified as 1 adult and 1 immature. De Jersey (2015) notes the dating of Phase 1 burials from the site to AD 1-40.",Verulamium Museum
France,1886,17494,PUYCASQUIER,1447,293,298,43.746158393296,0.74775388963543,1447 antoniniani (radiates): Valerian I and Gallienus/Gallienus (sole) - Diocletian-Maximianus I (AD 293-294).,NA
France,1881,6311,LARAJASSE,21,-100,0,45.614,4.5,"The hoard comprised a considerable number of Continental Iron Age silver coins, which were quickly dispersed or melted down.",NA
Bulgaria,1969,12164,SHANOVO 1969,14,235,238,42.558,25.6332,"Few hundreds denarii. 14 pieces entered the museum collection in Stara Zagora: Faustina II 1, Septimius Severus 5, Julia Domna 2, Geta 2, Caracalla 3, Maximinus I Thrax 1.","Regional Museum of History, Stara Zagora, Bulgaria; inv.no. 3520-3525"
Turkey,1939,4601,IZMIT 1939,55,474,491,40.76499,29.92928,"A hoard of 55 solidi, ranging from Theodosius II to Zeno, discovered outside the walls of ancient Nicomedia while laying the groundwork for a paper and cardboard factory.","Archaeological Museum, Istanbul"
France,1970,12565,LANDÉVENNEC,38,261,261,48.271,-4.334,"Group of 38 bronze coins: 28 sestertii, 3 dupondii, 7 asses: Nero - Postumus (AD 260-268).",NA
UK,2013,14604,DROXFORD,22,367,375,50.958516,-1.1755584,"15 AE nummi to AD375 (or possibly a Magnentian hoard with a stray nummus of Gratian), found with a (unrelated?) first century brooch and a sherd of greyware. The grey ware was not thought to form a container due to the small amount found. Addenda of 7 more coins and 5 more greyware sherds, which could perhaps suggest that this constituted a container.",NA
France,1993,7176,LOUPIAN 1993,73,275,276,43.44,3.614,The hoard comprised 59 antoniniani (radiates) from Philip I to Aurelian or Tetricus I and was perhaps incomplete.,NA
France,1979,3234,ESBARRES,236,259,259,47.089,5.21,"236 coins: 6 denarii, 224 antoniniani (radiates), 6 sestertii: Trajan - Valerian I and Gallienus (AD 259-260). Found together with jewellery: 1 gold ring, 1 glass ring, 1 bronze brooch.","Cabinet des Médailles, Paris, France"
France,1987,12784,TROUSSEY,5864,302,303,48.697,5.673,"5864 coins found in 2 vessels: 5283 antoniniani (radiates), 10 denarii and 571 nummi: Severus Alexander - Tetrarchy (AD 302-303).",NA
China,1976,18846,ZANHUANG,3,527,527,37.659611312845,114.38546836606,"Solidus of Theodosius II (with 2 suspension loops), 2 clipped solidi of Justin I with Justinian I found in the tomb of female Li Xizong passed away in AD 576 (North Qi period).",NA
France,1995,13027,ARDIÈRES 1995,4128,252,252,46.125,4.737,"4128 coins found in 2 vessels: 3 denarii, 4125 antoniniani (radiates): Caracalla - Trebonianus Gallus (AD 252).",NA
Romania,1972,2644,BUMBEŞTI-JIU 1972,195,246,246,45.1762,23.3806,"195 silver coins: 102 denarii, 93 antoniniani: Commodus - Philip (AD 246); silver w8: 232.3-420.8 g.","County Museum Gorj, Tg. Jiu, Romania; Ion Luben collection, Bucharest (3 coins)"
France,1895,12367,VERBIESLES,250,271,274,48.069,5.185,It comprised c. 250 bronze coins found with a ceramic vessel. Only 75 are recorded: Valerian I and Gallienus - Tetricus I (AD 271-274).,R. Forgeot and R. Cavaniol
Germany,1920,4346,PUPPLING,6,378,383,47.918,11.449,"6 coins (Tetricus - Gratian) were found during the demolition of a building located next to the cemetery (under the foundations of the house or possibly, next to the chimney).",NA
France,1767,7115,MANICAMP,2000,375,383,49.572,3.169,The hoard comprised more than 2000 nummi from Constantine I to Gratian (AD 375-383).,NA
France,1966,7010,MAULE 1966,29,351,353,48.909,1.851,"The hoard was found in Tomb 687 of the Gallo-Roman and Merovingian necropolis in Maule. It comprised 29 coins: 2 antoniniani (radiate), 27 nummi and imitations: Postumus to Magnentius with a tpq of AD 351 to 361.",Camping Club de France et le Groupe d'archéologie antique du Touring Club de France
Ukraine,1873,18196,NASTASOVKA,20,98,117,50.7579,27.5015,Hoard of around 20 denarii from the time of Trajan found on the bank of the Sluch River.,NA
Bulgaria,1904,12097,CHERVEN BREG 1904,12,1,500,42.311,23.173,"15 kg of silver coins, 12 gold coins and 2 gold bracelets. No further information.",NA
Ukraine,2017,20709,SIOMAKY,24,180,192,49.6114980054,28.1556819541,"A hoard of at least 24 Roman imperial denarii: Vespasian – Commodus (AD 180-192) and possibly a silver fibula were allegedly discovered by a treasure hunter in the late 2010s nearby village Semaki in Vinnytsia region. The coins were found in an area of 15x15 m. The silver brooch was found on the same area. Based on a photo of 5 coins, 3 of which were denarii from the time of Titus, Antoninus Pius and Commodus, 1 cast copy of a denarius with a portrait of Hadrian and an anonymous quadrans with a portrait of Mars on the obverse and cuirass on the reverse. While the denarii have general preservation and similar bronze oxides, the cast copy of the denarius and the anonymous quadrans are probably not part of the hoard. The further fate of the coins is unknown to me.",NA
Portugal,1786,4528,QUELFES,100,394,395,37.041,-7.8136,100 solidi of Honorius type RIC 35c Mediolanum; gold w8: c.445.0g.,Dispersed
Georgia,1942,16070,UREKI 1942,7,275,276,41.995809,41.761906,"1 aureus of Tacitus, 1 gold barbarous imitation of an aureus, 4 drachms Hadrian, 1 denarius Septimius Severus were found in a grave together with jewelry.",NA
Ukraine,1960,18608,KRYUKIV,20,230,230,49.032018271407,33.442412624634,Over 20 denarii. No further information.,NA
Germany,1967,16714,WIMPFEN IM TAL,8,244,247,49.2281,9.1906,"The hoard (8 denarii and antoniniani, Elagabalus - Philip I) was found at the bottom of a container during construction work at Heilbronn street.",NA
Ukraine,2017,20697,TURBIV,1100,193,193,49.3426478661,28.7255613137,"A hoard of ca. 1100 Roman imperial denarii: Trajan - Didius Julianus (AD 193) was allegedly discovered by a treasure hunter in the late 2010s near the town of Turbiv in the Vinnytsia region. The coins had a strong degree of wear. This information cannot be verified, as neither the coins themselves nor their photographs are available. The further fate of the hoard is unknown.",NA
UK,2005,15100,BRIGHSTONE 2005-11,990,-50,50,50.618056,-1.3794169,"A large hoard of at least 990 base silver staters of the Durotriges, found in and around the base and lower body of an Iron Age or Roman pot.",Returned to finder
Ukraine,2012,18661,BUZHANY,265,193,211,50.356907904389,24.784977900362,"According to the finders, the hoard was found with the help of a metal detector in a ploughed field between the villages of Buzhany and Rzhyshchiv. It contained 265 denarii, 2 silver fibulae, a ring-shaped silver pendant, an iron axe and several fragments of other (unidentified) objects. The main part of the hoard - coins, axe and brooch - was in the lower part of the clay pot, of which, in general, only a few fragments have survived. Other items from the treasure were spotted 3-4 meters away. They were probably contained in the upper part of the same vessel, broken by a tractor plough. That is, the pot was at a depth of only 35-40 cm and was destroyed during the cultivation of the land by the modern method of deep ploughing. Today the hoard is in a private collection.",Private collection
France,1845,9310,LA FEUILLÉE 1845,60,-60,-20,48.3916,-3.8537,The hoard comprised 60 Osismii billon staters found with a ceramic vessel (60-20 BC).,NA
Italy,1955,13852,POZZUOLI 1955,300,306,361,40.823905,14.125301,300 nummi of the House of Constantine I (AD 306-361) found during construction activities.,NA
Italy,1949,4350,SAN GENESIO,540,383,387,45.236846,9.176885,"540 coins found with an amphora: 1 solidus, 8 multiple of siliqua, 4 heavy miliarenses, 86 light mililiarenses, 441 siliquae. Gold w8: 4.45g; Silver: 1300.6g. Issuers: Costans, Costantius II, Valentinian I, Valens, Gratian, Valentinian II, Theodosius I, Arcadius (AD 337-387). Mints: Aquileia, Siscia, Treveri, Sirmium.","Soprintendenza Archeologia della Lombardia, Milano, Italy"
Austria,1997,13294,MARTINSBÜHEL,25,348,350,47.267,11.268,25 nummi found in the prafurnium channel: Constantine - Constans/Constantius II (AD 348-350).,NA
UK,1998,15310,SILSDEN,27,30,50,53.910131,-1.9253738,"The hoard and its context are discussed in detail by Edwards and Dennis; a summary of the find is in TAR 1997-98. Most of the hoard was recovered in August 1998, with the exception of 1 stater of Cunobelin found during a subsequent archaeological excavation (December 1998). (PAS).","Cliffe Castle Museum, Keighley"
UK,1937,967,AMLWCH,438,272,274,53.410387,-4.3634751,"2 denarii and 436 radiates (Septimius Severus to the Tetrici), 2 silver finger rings, and 1 small silver ingot found beneath a st1 by workers widening a road between Amlwch and Bull Bay.",National Museum Cardiff
Romania,1853,2604,TIBODU,763,167,167,46.349,25.311,826 coins found with a ceramic vessel. 763 denarii were: Republic - Marcus Aurelius (AD 167). The hoard was entirely recovered but not published accurate.,NA
Ukraine,1837,2996,PESCHANKA,1348,193,211,48.127809168369,29.736916185138,Hoard of 1348 coins. Only 53 are documented: Hadrian - Septimius Severus Silver (AD 193-211).,"University Museum, Kyiv, Ukraine (until 1917); private collection (2 coins)"
Israel,1977,6935,IDNA 1977,13,98,117,31.557,34.979,"The hoard comprised 13 silver coins including tetradrachms, drachms and denarii, dating between the reigns of Nero and Trajan.",NA
Bulgaria,1960,10254,KOPRIVETS 1960-1961 1,38,163,164,43.405,25.878,Unknown number of denarii found in 2 small ceramic vessels placed 100 m from each other. 38 pieces are known from 1 of the vessels: Republic - Marcus Aurelius (AD 163-164).,"Ruse Regional Museum of History, Bulgaria; inv.no. 1600 44-81"
France,1971,7019,LINAS,85,392,394,48.865,2.283,85 nummi dispersed by excavator: Constans - Eugenius (AD 392-394).,NA
Bulgaria,1936,9655,MIHAYLOVO 1936,76,244,249,42.249,25.525,"76 coins: 48 antoniniani (radiates), 28 provincial bronzes: Septimius Severus - Philip I (AD 244-249).","Museum of History, Stara Zagora, Bulgaria; inv. no. 1938. Stolen"
Israel,2000,8799,ḤORBAT QASTRA 2000,57,474,491,32.789,34.992,"The hoard comprised 57 nummi dated between AD 337-341 and AD 474-491, and 1 Nabataean coin.",Israel Antiquities Authority (IAA 97361-97417)
Romania,1851,16322,PLOPANA,300,161,180,46.680208,27.220599,"Over 300 denarii, only 8 coins were seen: Antoninus Pius 1, Antoninus Pius (Faustina I/Diva Faustina I) Marcus Aurelius 2, Marcus Aurelius (Faustina II/Diva Faustina II), Marcus Aurelius (Commodus Caesar), Marcus Aurelius (Lucilla).",NA
France,1965,3582,BONNEUIL-SUR-MARNE,1757,269,271,48.775,2.488,The hoard comprised a ceramic vessel containing 1759 antoniniani (radiates) from Gordian III to Victorinus. Hobbs estimates a silver w8 of 404.6g.,NA
UK,1840,14888,BAWTRY BRIDGE,8,200,296,53.420803,-1.0233912,"HER record of 8 radiates found ""below st1 bridge"".",NA
Czech Republic,1930,15981,HRUŠOVKA,22,408,450,50.554775,13.986141,"""Hoard of 22 ""small bronze Roman coins"", some, 11 mm in diameter, only 1 was identifiable: Theodosius II(?), AE IV, 408/450"".","Museum of Litoměřice, Czech Republic (possible inv.no. 172)"
Egypt,1928,7767,EL-MADAMUD A25,230,68,69,25.7347,32.7095,230 provincial coins of Alexandria: Nero - Galba (AD 68-69). Found in a jar during excavations of a house.,"Louvre Museum, Egyptian Antiquities, Paris"
Austria,1893,13207,OGGAU,58,-27,14,47.832,16.666,"58 denarii found with jug, shell and iron wedge. Coins from Republic to Augustus (1st century BC).",Lost
France,1837,5769,BRIONNE,100,-100,0,49.193,0.722,"The hoard comprised bronze coins with the legend PIXTILOS, 100 bronze Carnutes eagle coins and a variety of eagle potins. The Cabinet des Médailles some bronze Carnutes coins (BN 6108-6180) which had been in the Saulcy and Luynes Collections.","Cabinet des Médailles, Biblioteque Nationale, Paris"
UK,1910,1662,OLLERTON,427,180,180,53.178264,-1.0438701,"A hoard of 427 silver coins (426 denarii and 1 Lycian drachm), of which the first lot was found in 1910 in a clay pot, while ploughing a field. It comprised 367 Roman denarii (Nero to Commodus), 1 Lycian drachm of Trajan and 1 contemporary cast forgery, also from Trajan. A further lot of 50 denarii (Mark Antony – Commodus) was found between April and December 1988 by members of the Chesterfield Metal Detector Club, in the vicinity of the first lot and can be regarded as a further portion of the same find. A further 8 denarii (Vitellius - Antoninus Pius) were found with the aid of metal detectors in November 2012.",Doncaster Museum (part); Newark Museum (part); British Museum (part)
Bulgaria,1961,12140,PRAVISHTE,85,244,249,42.3333,24.5586,Unknown number of coins found in a ceramic vessel on the area of an a ancient settlement. 85 provincial bronze coins entered the museum collection in Plovdiv: Antoninus Pius - Philip I (AD 244-249).,"Museum of Archaeology, Plovdiv, Bulgaria; inv.no. 2237"
Sweden,1929,15791,BOTES 1929-1935,82,518,527,57.332162,18.479465,"82 solidi: Honorius – Justin I (AD 518-527) found with remains of a sack. 2 coins bear the monograms of the Ostrogoth Theodoric and the Burgundian Gundobad (Fagerlie 1967, 92).","Swedish History Museum, Stockholm (inv.no. 19155, 19523, 19788, 20802)"
France,1872,5993,LE BERNARD,231,249,251,46.438604,-1.468605,"The hoard was found during the excavation of 21 'puits funéraire' at Troussepoil and comprised 231 brass coins (sestertii?). Close to the hoard, 3 broken black ceramic jugs were excavated, 2 of which were filled with ashes and funeral pyre debris. Baudry thought that the coins had originally been placed in the jugs, but that hypothesis is not certain. The hoard was discovered during the excavation of 21 'puits funéraire' of Troussepoil.",NA
UK,1976,15375,WANDSWORTH,28,-70,-50,51.469607,-0.23054883,A rather confused record of finds relating to 28 Iron Age potin coins.,NA
France,1975,7343,ARLANC,47,310,310,45.4109,3.7232,"The hoard comprised more than 120 nummi of Constantine I and Licinius I. Only 47 coins, probably representing a third of the hoard were not dispersed.",NA
Bulgaria,1915,3245,GABARE 1915,4062,251,253,43.312,23.914,"(c. 18 kg, 4062) 1590 silver coins denarii, antoniniani: Septimius Severus - Trebonianus Gallus (AD 251-253); silver w8: 5078.8-10559.8 g.",NA
France,1953,5868,ALLONNES 1953-1960,369,96,98,47.969,0.167,"During the excavation of a monumental temple site, numerous votive offerings and coins were discovered. The total number of coins varies according to publication but was between 359 and 385 Iron Age coins and between 17 and 19 Roman coins. The Roman coins were not examined in any detail in the publication but appear to have been Roman Republican and Imperial denarii. The latest coin was an issue of Nerva.",NA
France,1894,7327,VICHY 1894,21,98,117,46.132,3.425,"The hoard was found in a ceramic vessel with a capacity of approximately 2 litres. It was filled with grey sand (perhaps mixed with cremated human b1) which contained fragments of an ivory or b1 bracelet and 20 Roman bronze coins including 2 asses of Claudius, 1 of Domitian and 1 of Trajan. Although the other coins were not identified, they were said to be of the same date.",NA
UK,2013,14906,CLIFTON,16,351,353,53.735193,-3.0019972,IARCH record for a small Magnentian hoard of 16 nummi and a copper alloy bracelet. For full details and images see LANCUM-33EBC3. Unpublished catalogue by David Shotter and Stuart Noon.,NA
Ukraine,2018,20673,LVIV REGION 2018,757,180,192,49.5661221128,23.665240951,"A hoard of 757 Roman Imperial denarii and a silver ingot was discovered by a treasure hunter on January 11, 2018 in the Lviv region. Information about the find, the silver ingot and a general photo of the bunch uncleaned coins were published on the Ukrainian treasure hunter forum Violity on 11 and 12 January 2018. According to the finder, the hoard was discovered in the forest at a depth of 30-40 cm. Initially a few slipped coins were found, and then the rest of the hoard. Among the coins, a silver ingot (ca. 8.7x1.5 cm) and a fragment of pottery were found. Only photos of 17 coins and the silver ingot were published separately. The further fate of the hoard is unknown, however, most probably it was sold at the Violity auction. Coins: Nerva (1), Hadrian (4), Hadrian (Aelius) (1), Hadrian (Antoninus Pius) (1), Antoninus Pius (3), Antoninus Pius (Diva Faustina I) (1), Marcus Aurelius (3), Marcus Aurelius (Lucius Verus) (1), Marcus Aurelius (Lucilla) (1), Commodus (1), no information (740).",Sold
Croatia,1982,6961,OSIJEK 1982 A,98,268,268,45.555,18.696,Few hundred coins. Only 98 denarii and antoniniani (radiates) are recovered: Elagabalus - Gallienus (sole) (AD 267-268).,"Museum Osijek, Croatia (98 coins)"
Belgium,1955,3845,PETIGNY,101,260,269,50.059,4.532,"101 coins: 96 sestertii, 3 antoniniani (radiates), 2 bronze copies: Domitian - Postumus (AD 260); silver w8: 3.5-6.2 g.","Local museum, Petigny, Belgium (82 coins); private collection (11 coins), in 1960; Archaeological Museum, Namur, Belgium (8 coins)"
Israel,1970,7603,MEQOR ḤAYIM,7,70,106,31.754,35.212,The hoard was found in a burial chamber and comprised 3 silver coins (tetradrachms) and 3 bronze coins dated between AD 40-70 and AD 70-106.,Israel Antiquities Authority (IAA 9936-9942)
France,1939,7526,OISY,44,260,269,47.47,3.446,The hoard comprised approximately 70 antoniniani (radiates) from Gordian III to Postumus (AD 260-269). 40-4 coins are catalogued.,NA
France,1880,6979,PARIS 1880 - (QUARTIER DE LA GARE),75,271,274,48.83,2.357,"The hoard was found in a tomb and comprised a copper-alloy vessel containing 75 (or 78) radiates, 17 surgical implements and 5 tinned or silvered containers, which probably originally contained ointment: Victorinus - Tetricus I (AD 271-274).",NA
UK,1979,15285,RINGWOOD 1979,45,-80,-60,50.871192,-1.7313518,"Coins were found by 2 detectorists between 6 May and 16 July 1979, apparently scattered across a wide area (up to 900 m2) within an earthwork.",British Museum (part)
France,1859,5992,LE BERNARD,33,271,274,46.438604,-1.468605,The hoard was placed next to the skull of a skeleton in an inhumation grave and comprised 33 small bronzes antoniniani (radiates): Gordian III - Tetricus I (AD 271-274).,NA
France,1830,5718,SAINT-MARTIN-EN-CAMPAGNE,600,181,192,49.967393,1.217249,"The hoard was found in an ancient vessel and comprised between 500 and 600 bronze coins. Very close by, a large glass urn, pottery and 3 bronze basins were also found.",NA
Romania,1958,9304,TIMIȘOARA 1958,66,244,247,45.795,21.156,"Originally, 87 silver coins. 66 pieces were recovered: 18 antoniniani (radiates), 48 denarii: Antoninus Pius - Philip I (AD 244-247).","Collection Nussbaum, Timișoara, Romania; otherwise, dispersed"
Algeria,1856,4590,CHERCHELL - CHURCH SQUARE,64,474,491,36.607,2.197,65 solidi menti1d to be discovered but only 64 based on evidence by P. Salama: Theodosius II - Zeno/Basiliscus (c.490) found while levelling the place for the church square.,NA
Turkey,2000,8793,ALEXANDRIA TROAS,339,253,260,39.761,26.15,"A hoard of 42 denarii, 294 antoniniani (radiates) and 3 provincial coins, found during excavation at the 'podium temple' in Alexandria Troas. Coins range from Septimius Severus to AD 260.","Çanakkale Archaeological Museum, Turkey"
Italy,1850,15059,POMPEII 1850-1900,13,78,79,40.7499,14.4864,13 aurei: Tiberius - Vespasian (AD 78-79).,Private collection
Spain,1900,17835,LANTEJUELA,212,393,395,37.353456373629,-5.2235352225388,Hoard of 212 nummi: Constantine I - House of Theodosius I (AD 393-395).,NA
France,1963,8671,VIENNE 1963,384,367,383,45.525,4.876,384 nummi: Constantine I - Gratian (AD 367-383).,NA
Egypt,1912,7780,EGYPT A38,301,117,138,26.821,30.802,The hoard comprised 301 Alexandrian tetradrachms. 300 were of Nero with a single coin of Hadrian. They were acquired in Egypt by Dattari.,Dattari's collection; dispersed
France,2002,12997,CHEVROCHES 2002 1,46,271,274,47.456,3.542,46 imitations of antoniniani (radiates) of the Tetricus I and II (AD 271-274)and unidentified onject (button?).,NA
