author,published,title,original_text,modified_date,changes,month
"Baring, Maurice",1921,Passing By,"_Monday, May_ 22_nd_.","Monday, May 22nd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 10_th._","Saturday, June 10th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 26_th._","Monday, June 26th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 27_th._ London.","Tuesday, June 27th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 28_th._ London.","Wednesday, June 28th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 29_th._ London.","Thursday, June 29th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 30_th._ London.","Friday, June 30th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, July_ 1_st_. London.","Saturday, July 1st., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, July_ 2_nd. Oakley (near Hendon)_.","Sunday, July 2nd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, October_ 28_th. London, Gray's Inn_.","Saturday, October 28th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, October_ 29_th._","Sunday, October 29th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, October_ 30_th._","Monday, October 30th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, October_ 31_st_.","Tuesday, October 31st., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, November_ 1_st_.","Wednesday, November 1st., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, November_ 2_nd_.","Thursday, November 2nd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Friday, November_ 3_rd_.","Friday, November 3rd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, November_ 4_th. Rosedale_.","Saturday, November 4th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, November_ 6_th._","Monday, November 6th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, November_ 25_th. Oakley_.","Saturday, November 25th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, November_ 26_th._","Sunday, November 26th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, November_ 27_th._","Monday, November 27th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, November_ 28_th._","Tuesday, November 28th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, December_ 20_th._","Wednesday, December 20th., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Friday, December_ 22_nd_.","Friday, December 22nd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Friday, December_ 22_nd_.","Friday, December 22nd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Friday, December_ 22_nd_.","Friday, December 22nd., 1911",modified,
"Baring, Maurice",1921,Passing By,"_Monday, January_ 1_st_.","Monday, January 1st., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Monday, January_ 1_st_, 1912.","Monday, January 1st, 1912.",as in text,
"Baring, Maurice",1921,Passing By,"_Wednesday, February_ 28_th._","Wednesday, February 28th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 1_st_.","Thursday, March 1st., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 2_nd_.","Friday, March 2nd., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, March_ 4_th._","Sunday, March 4th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 7_th._","Wednesday, March 7th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 7_th_.","Wednesday, March 7th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 12_th._","Monday, March 12th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 19_th. Rosedale_.","Sunday, August 19th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 10_th._","Monday, August 10th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 26_th. Carbis Bay Hotel_.","Sunday, August 26th, 1912",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 27_th_.","Monday, August 27th., 1912",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 28_th_.","Tuesday, August 28th., 1912",modified,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_March_ 4, 1910.","March 4, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_March_ 11, 1910.","March 11, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_March_ 14, 1910.","March 14, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_March_ 15, 1910.","March 15, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_March_ 23, 1910.","March 23, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_March_ 31, 1910.","March 31, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 8, 1910.","April 8, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 12, 1910.","April 12, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 15, 1910.","April 15, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 20, 1910.","April 20, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 22, 1910.","April 22, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_April_ 24, 1910.","April 24, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 3, 1910.","May 3, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 6, 1910.","May 6, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 16, 1910.","May 16, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_May_ 23, 1910.","May 23, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_June_ 7, 1910.","June 7, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_June_ 25, 1910.","June 25, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_July_ 16, 1910.","July 16, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_August_ 17, 1910.","August 17, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_August_ 25, 1910.","August 25, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_August_ 30, 1910.","August 30, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_September_ 6, 1910.","September 6, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_September_ 14, 1910.","September 14, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_October_ 3, 1910.","October 3, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_October_ 18, 1910.","October 18, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_November_ 7, 1910.","November 7, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_November_ 26, 1910.","November 26, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_December_ 2, 1910.","December 2, 1910.",as in text,
"Bashford, H. H. (Henry Howarth), Sir",1911,The Corner of Harley Street,"_December_ 25, 1910,","December 25, 1910,",as in text,
"Clarke, Jay",1954,High Man,June 1954. Extensive research did not uncover any evidence that the U.S.,"June 1, 1954",as in text,
"Clarke, Jay",1954,High Man,April 3,"April 3, 1954",modified,
"Clarke, Jay",1954,High Man,April 11,"April 11, 1954",modified,
"Clarke, Jay",1954,High Man,April 16,"April 16, 1954",modified,
"Clarke, Jay",1954,High Man,VIA WU CABLES LONDON APR 24,"April 24, 1954",modified,
"Clarke, Jay",1954,High Man,April 25,"April 25, 1954",modified,
"Clarke, Jay",1954,High Man,May 1,"May 1, 1954",modified,
"Clarke, Jay",1954,High Man,May 3,"May 3, 1954",modified,
"Clarke, Jay",1954,High Man,June 5,"June 5, 1954",modified,
